Configuration,Metric,Run,Fold,Fold value,Run mean
Original Strict Inductive,AUROC,6,1,0.8883,0.92918
Original Strict Inductive,AUROC,6,2,0.9419,0.92918
Original Strict Inductive,AUROC,6,3,0.9137,0.92918
Original Strict Inductive,AUROC,6,4,0.9579,0.92918
Original Strict Inductive,AUROC,6,5,0.9441,0.92918
Original Strict Inductive,AUROC,7,1,0.9172,0.92956
Original Strict Inductive,AUROC,7,2,0.924,0.92956
Original Strict Inductive,AUROC,7,3,0.942,0.92956
Original Strict Inductive,AUROC,7,4,0.9334,0.92956
Original Strict Inductive,AUROC,7,5,0.9312,0.92956
Original Strict Inductive,AUROC,8,1,0.9409,0.9324999999999999
Original Strict Inductive,AUROC,8,2,0.9117,0.9324999999999999
Original Strict Inductive,AUROC,8,3,0.9406,0.9324999999999999
Original Strict Inductive,AUROC,8,4,0.9289,0.9324999999999999
Original Strict Inductive,AUROC,8,5,0.9404,0.9324999999999999
Original Strict Inductive,AUROC,9,1,0.9303,0.9288000000000001
Original Strict Inductive,AUROC,9,2,0.9301,0.9288000000000001
Original Strict Inductive,AUROC,9,3,0.9388,0.9288000000000001
Original Strict Inductive,AUROC,9,4,0.9046,0.9288000000000001
Original Strict Inductive,AUROC,9,5,0.9402,0.9288000000000001
Original Strict Inductive,AUROC,10,1,0.9166,0.93068
Original Strict Inductive,AUROC,10,2,0.9275,0.93068
Original Strict Inductive,AUROC,10,3,0.9288,0.93068
Original Strict Inductive,AUROC,10,4,0.9541,0.93068
Original Strict Inductive,AUROC,10,5,0.9264,0.93068
Original Strict Inductive,AUPRC,1,1,0.8497,0.8571799999999999
Original Strict Inductive,AUPRC,1,2,0.86,0.8571799999999999
Original Strict Inductive,AUPRC,1,3,0.8663,0.8571799999999999
Original Strict Inductive,AUPRC,1,4,0.8631,0.8571799999999999
Original Strict Inductive,AUPRC,1,5,0.8468,0.8571799999999999
Original Strict Inductive,AUPRC,2,1,0.8283,0.8597400000000001
Original Strict Inductive,AUPRC,2,2,0.8829,0.8597400000000001
Original Strict Inductive,AUPRC,2,3,0.8787,0.8597400000000001
Original Strict Inductive,AUPRC,2,4,0.8431,0.8597400000000001
Original Strict Inductive,AUPRC,2,5,0.8657,0.8597400000000001
Original Strict Inductive,AUPRC,3,1,0.8494,0.8580200000000001
Original Strict Inductive,AUPRC,3,2,0.8652,0.8580200000000001
Original Strict Inductive,AUPRC,3,3,0.8467,0.8580200000000001
Original Strict Inductive,AUPRC,3,4,0.8273,0.8580200000000001
Original Strict Inductive,AUPRC,3,5,0.9015,0.8580200000000001
Original Strict Inductive,AUPRC,4,1,0.8519,0.86302
Original Strict Inductive,AUPRC,4,2,0.9134,0.86302
Original Strict Inductive,AUPRC,4,3,0.8547,0.86302
Original Strict Inductive,AUPRC,4,4,0.8524,0.86302
Original Strict Inductive,AUPRC,4,5,0.8427,0.86302
Original Strict Inductive,AUPRC,5,1,0.8581,0.86126
Original Strict Inductive,AUPRC,5,2,0.8834,0.86126
Original Strict Inductive,AUPRC,5,3,0.8922,0.86126
Original Strict Inductive,AUPRC,5,4,0.8206,0.86126
Original Strict Inductive,AUPRC,5,5,0.852,0.86126
Original Strict Inductive,AUPRC,6,1,0.8084,0.8585200000000001
Original Strict Inductive,AUPRC,6,2,0.8684,0.8585200000000001
Original Strict Inductive,AUPRC,6,3,0.828,0.8585200000000001
Original Strict Inductive,AUPRC,6,4,0.9051,0.8585200000000001
Original Strict Inductive,AUPRC,6,5,0.8827,0.8585200000000001
Original Strict Inductive,AUPRC,7,1,0.8256,0.8564399999999999
Original Strict Inductive,AUPRC,7,2,0.8477,0.8564399999999999
Original Strict Inductive,AUPRC,7,3,0.8831,0.8564399999999999
Original Strict Inductive,AUPRC,7,4,0.872,0.8564399999999999
Original Strict Inductive,AUPRC,7,5,0.8538,0.8564399999999999
Original Strict Inductive,AUPRC,8,1,0.8732,0.86584
Original Strict Inductive,AUPRC,8,2,0.8549,0.86584
