Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=40)",Significant Global (q<0.05),"BH q (Family, m=10)",Significant Family (q<0.05)
STRING,AUC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,10-run mean,10,0.9284909798000001,0.001035748380335875,0.9252573999999999,0.0009056033215486579,0.0032335798000000084,0.0030980190000000074,0.0023887539999999374,0.004065113999999981,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,10-run mean,10,0.9284909798000001,0.001035748380335875,0.9194463300000001,0.001421234403314573,0.009044649800000004,0.009255150999999961,0.00821174399999991,0.009993489999999994,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,10-run mean,10,0.928563974,0.0004666945360519714,0.9252573999999999,0.0009056033215486579,0.0033065739999999844,0.0033665659999998487,0.0024940890000000326,0.004140568000000067,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,10-run mean,10,0.928563974,0.0004666945360519714,0.9194463300000001,0.001421234403314573,0.00911764399999998,0.008966863000000047,0.008132370999999916,0.010108252999999956,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,10-run mean,10,0.9289694880000001,0.0007389404303715109,0.9252573999999999,0.0009056033215486579,0.0037120880000000136,0.003639209000000032,0.002701269999999978,0.004560464000000042,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,10-run mean,10,0.9289694880000001,0.0007389404303715109,0.9194463300000001,0.001421234403314573,0.009523158000000009,0.009527657000000078,0.008572186999999898,0.010572902999999967,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,10-run mean,10,0.9287943564000001,0.0006796377862466473,0.9252573999999999,0.0009056033215486579,0.003536956400000002,0.003565185999999998,0.002912824000000036,0.0041948400000000885,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,10-run mean,10,0.9287943564000001,0.0006796377862466473,0.9194463300000001,0.001421234403314573,0.009348026399999997,0.00936326300000001,0.008628249999999893,0.010117970000000143,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
STRING,AUC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,10-run mean,10,0.9268631312,0.0009549199948851321,0.9252573999999999,0.0009056033215486579,0.0016057311999999936,0.001627799999999957,0.0008835860000001028,0.002306713999999932,0.8909090909090909,0.009765625,0.009765625,True,0.009765625,True
STRING,AUC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,10-run mean,10,0.9268631312,0.0009549199948851321,0.9194463300000001,0.001421234403314573,0.0074168011999999894,0.007401137999999974,0.006339707999999944,0.008703924000000085,1.0,0.001953125,0.002003205128205128,True,0.002170138888888889,True
