Run,Fold,Dataset,Metric,BIMODriver-Original,BIMODriver-Masking,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Masking (Mask All Graph Edges),DISFusion,MNGCL
6,5,STRING,AUPRC,0.81926895,0.81879043,0.81479434,0.8130566,0.81702304,0.824004,0.8206868
6,5,STRING,AUC,0.92216117,0.92237352,0.92311674,0.92076764,0.92115252,0.910933,0.92125891
7,1,CPDB,AUPRC,0.81682973,0.81618555,0.82546267,0.82189464,0.8339263,0.808896,0.80547093
7,1,CPDB,AUC,0.91319893,0.91449126,0.91546768,0.91597025,0.91885644,0.905574,0.88485772
7,1,STRING,AUPRC,0.83317123,0.82891138,0.83186986,0.8378658,0.82432151,0.826198,0.83163658
7,1,STRING,AUC,0.92532078,0.9243713,0.92365919,0.92525484,0.91826562,0.919848,0.9260672
7,2,CPDB,AUPRC,0.84597556,0.85545103,0.83952272,0.84450951,0.83906889,0.844638,0.85799116
7,2,CPDB,AUC,0.92073749,0.92796014,0.92187186,0.92363803,0.92010568,0.924399,0.93246951
7,2,STRING,AUPRC,0.84351399,0.83354523,0.83494692,0.82692573,0.83256367,0.800092,0.82315286
7,2,STRING,AUC,0.92856483,0.92360644,0.9271538,0.9255054,0.92671862,0.905065,0.92623373
7,3,CPDB,AUPRC,0.88743324,0.88564233,0.8759393,0.87961732,0.88333619,0.861581,0.84313832
7,3,CPDB,AUC,0.94435069,0.94392162,0.93798627,0.93987414,0.94187643,0.931894,0.93602685
7,3,STRING,AUPRC,0.86500719,0.86470993,0.87424219,0.87513851,0.86739404,0.817203,0.80563492
7,3,STRING,AUC,0.94006409,0.94140919,0.94798961,0.94788411,0.94626208,0.925875,0.91190655
7,4,CPDB,AUPRC,0.87322083,0.8744196,0.86122963,0.86856495,0.85901416,0.852587,0.83806408
7,4,CPDB,AUC,0.93530792,0.93548062,0.9301124,0.93195458,0.92590993,0.929422,0.91509531
7,4,STRING,AUPRC,0.85009695,0.84881677,0.84789815,0.85348569,0.85276405,0.838821,0.80254676
7,4,STRING,AUC,0.92894304,0.926939,0.92866433,0.92964644,0.92874396,0.93169,0.91762289
7,5,CPDB,AUPRC,0.85225021,0.85701283,0.8499895,0.84650206,0.84301183,0.849845,0.85519645
